"YearsInEd","n","exit_rate_by_exp","exit_n_by_exp","year"
"1",7106,0.111173656065297,790,"2015-16"
"10",6850,0.0411678832116788,282,"2015-16"
"11",6776,0.0336481700118064,228,"2015-16"
"12",6222,0.0392156862745098,244,"2015-16"
"13",5776,0.0335872576177285,194,"2015-16"
"14",5843,0.0349135717953106,204,"2015-16"
"15",5877,0.037263910158244,219,"2015-16"
"16",6392,0.0333229036295369,213,"2015-16"
"17",5332,0.0361965491372843,193,"2015-16"
"18",4819,0.0352770284291347,170,"2015-16"
"19",4005,0.0464419475655431,186,"2015-16"
"2",5890,0.0837011884550085,493,"2015-16"
"20",3673,0.0539068881023686,198,"2015-16"
"21",3297,0.0627843494085532,207,"2015-16"
"22",3435,0.0503639010189229,173,"2015-16"
"23",2570,0.0579766536964981,149,"2015-16"
"24",2289,0.0690257754477938,158,"2015-16"
"25",2318,0.0828300258843831,192,"2015-16"
"26",2075,0.0843373493975904,175,"2015-16"
"27",1870,0.0887700534759358,166,"2015-16"
"28",1767,0.0916808149405773,162,"2015-16"
"29",1581,0.101834282099937,161,"2015-16"
"3",4801,0.0766506977712976,368,"2015-16"
"30",1415,0.130035335689046,184,"2015-16"
"31",1154,0.136048526863085,157,"2015-16"
"32",943,0.167550371155885,158,"2015-16"
"33",776,0.23840206185567,185,"2015-16"
"34",799,0.305381727158949,244,"2015-16"
"35",674,0.327893175074184,221,"2015-16"
"36",631,0.332805071315372,210,"2015-16"
"37",451,0.332594235033259,150,"2015-16"
"38",294,0.336734693877551,99,"2015-16"
"39",216,0.37037037037037,80,"2015-16"
"4",4145,0.0738238841978287,306,"2015-16"
"40",178,0.337078651685393,60,"2015-16"
"41",114,0.324561403508772,37,"2015-16"
"42",90,0.333333333333333,30,"2015-16"
"43",51,0.431372549019608,22,"2015-16"
"44",32,0.28125,9,"2015-16"
"45",18,0.333333333333333,6,"2015-16"
"46",21,0.238095238095238,5,"2015-16"
"47",13,0.384615384615385,5,"2015-16"
"48",10,0.4,4,"2015-16"
"49",2,0.5,1,"2015-16"
"5",5341,0.0644074143418835,344,"2015-16"
"50",3,0,0,"2015-16"
"51",4,0.5,2,"2015-16"
"52",2,0.5,1,"2015-16"
"53",4,0.25,1,"2015-16"
"54",1,1,1,"2015-16"
"55",2,0.5,1,"2015-16"
"56",2,0.5,1,"2015-16"
"57",1,0,0,"2015-16"
"59",1,0,0,"2015-16"
"6",6454,0.0602726991013325,389,"2015-16"
"61",1,0,0,"2015-16"
"66",1,0,0,"2015-16"
"7",6911,0.0465923889451599,322,"2015-16"
"72",1,0,0,"2015-16"
"74",1,1,1,"2015-16"
"8",7096,0.0466459977452086,331,"2015-16"
"9",6757,0.0399585614917863,270,"2015-16"
"1",7326,0.101419601419601,743,"2016-17"
"2",6448,0.0787841191066997,508,"2016-17"
"3",5562,0.0631067961165049,351,"2016-17"
"4",4576,0.0541958041958042,248,"2016-17"
"5",4176,0.0557950191570881,233,"2016-17"
"6",5089,0.0560031440361564,285,"2016-17"
"7",6264,0.0458173690932312,287,"2016-17"
"8",6686,0.0412802871672151,276,"2016-17"
"9",6927,0.0319041432077378,221,"2016-17"
"10",6667,0.0305984700764962,204,"2016-17"
"11",6600,0.03,198,"2016-17"
"12",6626,0.0329006942348325,218,"2016-17"
"13",6098,0.0337815677271236,206,"2016-17"
"14",5787,0.0307585968550199,178,"2016-17"
"15",5722,0.0297098916462775,170,"2016-17"
"16",5625,0.0304,171,"2016-17"
"17",6269,0.0280746530547137,176,"2016-17"
"18",5196,0.0348344880677444,181,"2016-17"
"19",4680,0.0388888888888889,182,"2016-17"
"20",3820,0.0353403141361257,135,"2016-17"
"21",3501,0.043416166809483,152,"2016-17"
"22",3109,0.0466387906079125,145,"2016-17"
"23",3240,0.0481481481481481,156,"2016-17"
"24",2414,0.0604805302402651,146,"2016-17"
"25",2207,0.0670593565926597,148,"2016-17"
"26",2104,0.0736692015209126,155,"2016-17"
"27",1913,0.0836382645060115,160,"2016-17"
"28",1719,0.0884235020360675,152,"2016-17"
"29",1610,0.0956521739130435,154,"2016-17"
"30",1474,0.130257801899593,192,"2016-17"
"31",1183,0.125950972104818,149,"2016-17"
"32",1005,0.152238805970149,153,"2016-17"
"33",757,0.204755614266843,155,"2016-17"
"34",620,0.246774193548387,153,"2016-17"
"35",563,0.342806394316163,193,"2016-17"
"36",452,0.323008849557522,146,"2016-17"
"37",398,0.266331658291457,106,"2016-17"
"38",292,0.287671232876712,84,"2016-17"
"39",197,0.299492385786802,59,"2016-17"
"40",137,0.306569343065693,42,"2016-17"
"41",112,0.321428571428571,36,"2016-17"
"42",81,0.345679012345679,28,"2016-17"
"43",60,0.233333333333333,14,"2016-17"
"44",27,0.296296296296296,8,"2016-17"
"45",25,0.24,6,"2016-17"
"46",13,0.384615384615385,5,"2016-17"
"47",14,0.357142857142857,5,"2016-17"
"48",9,0,0,"2016-17"
"49",5,0.4,2,"2016-17"
"50",2,0,0,"2016-17"
"51",4,0.25,1,"2016-17"
"52",3,0.333333333333333,1,"2016-17"
"53",3,0.333333333333333,1,"2016-17"
"54",2,0.5,1,"2016-17"
"56",1,0,0,"2016-17"
"57",1,0,0,"2016-17"
"58",1,1,1,"2016-17"
"60",1,0,0,"2016-17"
"66",1,0,0,"2016-17"
"1",6307,0.116378626922467,734,"2017-18"
"2",7106,0.0740219532789192,526,"2017-18"
"3",6247,0.0616295821994557,385,"2017-18"
"4",5395,0.0537534754402224,290,"2017-18"
"5",4549,0.0553967905034073,252,"2017-18"
"6",4120,0.0514563106796116,212,"2017-18"
"7",4890,0.047239263803681,231,"2017-18"
"8",6056,0.0389696169088507,236,"2017-18"
"9",6479,0.0317950300972372,206,"2017-18"
"10",6891,0.0323610506457698,223,"2017-18"
