"YearsInEd","n","exit_rate_by_exp","exit_n_by_exp","year"
"1",7115,0.10498945888967,747,"2015-16"
"10",6850,0.0357664233576642,245,"2015-16"
"11",6775,0.028929889298893,196,"2015-16"
"12",6213,0.0336391437308868,209,"2015-16"
"13",5777,0.0304656396053315,176,"2015-16"
"14",5842,0.0292707976720301,171,"2015-16"
"15",5875,0.0316595744680851,186,"2015-16"
"16",6395,0.0284597341673182,182,"2015-16"
"17",5329,0.0298367423531619,159,"2015-16"
"18",4817,0.0315549096948308,152,"2015-16"
"19",4004,0.0432067932067932,173,"2015-16"
"2",5893,0.0767011708807059,452,"2015-16"
"20",3673,0.0481894908793901,177,"2015-16"
"21",3302,0.0569351907934585,188,"2015-16"
"22",3439,0.0479790636813027,165,"2015-16"
"23",2571,0.0521197977440685,134,"2015-16"
"24",2286,0.0669291338582677,153,"2015-16"
"25",2317,0.0802762192490289,186,"2015-16"
"26",2077,0.077997111218103,162,"2015-16"
"27",1869,0.0845371856607812,158,"2015-16"
"28",1769,0.0864895421141888,153,"2015-16"
"29",1581,0.0974067046173308,154,"2015-16"
"3",4804,0.0703580349708576,338,"2015-16"
"30",1414,0.126591230551627,179,"2015-16"
"31",1152,0.130208333333333,150,"2015-16"
"32",944,0.162076271186441,153,"2015-16"
"33",776,0.228092783505155,177,"2015-16"
"34",800,0.3,240,"2015-16"
"35",673,0.319465081723626,215,"2015-16"
"36",631,0.329635499207607,208,"2015-16"
"37",451,0.328159645232816,148,"2015-16"
"38",294,0.329931972789116,97,"2015-16"
"39",217,0.36405529953917,79,"2015-16"
"4",4143,0.0661356504948105,274,"2015-16"
"40",178,0.331460674157303,59,"2015-16"
"41",114,0.298245614035088,34,"2015-16"
"42",90,0.333333333333333,30,"2015-16"
"43",51,0.431372549019608,22,"2015-16"
"44",32,0.28125,9,"2015-16"
"45",18,0.333333333333333,6,"2015-16"
"46",21,0.238095238095238,5,"2015-16"
"47",13,0.384615384615385,5,"2015-16"
"48",10,0.4,4,"2015-16"
"49",2,0.5,1,"2015-16"
"5",5334,0.0569928758905137,304,"2015-16"
"50",3,0,0,"2015-16"
"51",4,0.5,2,"2015-16"
"52",2,0.5,1,"2015-16"
"53",4,0.25,1,"2015-16"
"54",1,1,1,"2015-16"
"55",2,0.5,1,"2015-16"
"56",2,0.5,1,"2015-16"
"57",1,0,0,"2015-16"
"59",1,0,0,"2015-16"
"6",6453,0.0547032388036572,353,"2015-16"
"61",1,0,0,"2015-16"
"66",1,0,0,"2015-16"
"7",6918,0.0383058687481931,265,"2015-16"
"72",1,0,0,"2015-16"
"74",1,1,1,"2015-16"
"8",7099,0.0397239047753205,282,"2015-16"
"9",6751,0.0346615316249445,234,"2015-16"
"1",7391,0.0970098768772832,717,"2016-17"
"2",6522,0.0775835633241337,506,"2016-17"
"3",5617,0.0617767491543529,347,"2016-17"
"4",4617,0.0526315789473684,243,"2016-17"
"5",4219,0.0542782649917042,229,"2016-17"
"6",5143,0.0536651759673342,276,"2016-17"
"7",6332,0.0442198357548958,280,"2016-17"
"8",6765,0.0402069475240207,272,"2016-17"
"9",6994,0.030311695739205,212,"2016-17"
"10",6733,0.0295559186098322,199,"2016-17"
"11",6640,0.0283132530120482,188,"2016-17"
"12",6673,0.0289225236025776,193,"2016-17"
"13",6144,0.0304361979166667,187,"2016-17"
"14",5822,0.0291995877705256,170,"2016-17"
"15",5767,0.0287844633258193,166,"2016-17"
"16",5670,0.0287477954144621,163,"2016-17"
"17",6313,0.0262949469348962,166,"2016-17"
"18",5249,0.0323871213564488,170,"2016-17"
"19",4714,0.0371234620280017,175,"2016-17"
"20",3839,0.0343839541547278,132,"2016-17"
"21",3532,0.0424688561721404,150,"2016-17"
"22",3136,0.0443239795918367,139,"2016-17"
"23",3256,0.0466830466830467,152,"2016-17"
"24",2438,0.0578342904019688,141,"2016-17"
"25",2217,0.0658547586829048,146,"2016-17"
"26",2114,0.0737937559129612,156,"2016-17"
"27",1929,0.0824261275272162,159,"2016-17"
"28",1734,0.0859284890426759,149,"2016-17"
"29",1619,0.0951204447189623,154,"2016-17"
"30",1485,0.129292929292929,192,"2016-17"
"31",1191,0.123425692695214,147,"2016-17"
"32",1016,0.150590551181102,153,"2016-17"
"33",763,0.203145478374836,155,"2016-17"
"34",633,0.243285939968404,154,"2016-17"
"35",569,0.339191564147627,193,"2016-17"
"36",458,0.318777292576419,146,"2016-17"
"37",402,0.263681592039801,106,"2016-17"
"38",295,0.288135593220339,85,"2016-17"
"39",199,0.296482412060302,59,"2016-17"
"40",139,0.316546762589928,44,"2016-17"
"41",113,0.31858407079646,36,"2016-17"
"42",84,0.345238095238095,29,"2016-17"
"43",60,0.233333333333333,14,"2016-17"
"44",27,0.296296296296296,8,"2016-17"
"45",25,0.24,6,"2016-17"
"46",13,0.384615384615385,5,"2016-17"
"47",14,0.357142857142857,5,"2016-17"
"48",9,0,0,"2016-17"
"49",5,0.4,2,"2016-17"
"50",2,0,0,"2016-17"
"51",4,0.25,1,"2016-17"
"52",3,0.333333333333333,1,"2016-17"
"53",3,0.333333333333333,1,"2016-17"
"54",2,0.5,1,"2016-17"
"56",1,0,0,"2016-17"
"57",1,0,0,"2016-17"
"58",1,1,1,"2016-17"
"60",1,0,0,"2016-17"
"66",1,0,0,"2016-17"
"1",6368,0.115263819095477,734,"2017-18"
"2",7172,0.0730619074177356,524,"2017-18"
"3",6280,0.0601910828025478,378,"2017-18"
"4",5424,0.0519911504424779,282,"2017-18"
"5",4572,0.0551181102362205,252,"2017-18"
"6",4132,0.0510648596321394,211,"2017-18"
"7",4911,0.0474445123192832,233,"2017-18"
"8",6090,0.0385878489326765,235,"2017-18"
"9",6506,0.0318167845066093,207,"2017-18"
"10",6925,0.031913357400722,221,"2017-18"
"11",6598,0.029857532585632,197,"2017-18"
"12",6543,0.0236894390952163,155,"2017-18"
"13",6614,0.0229815542788025,152,"2017-18"
"14",6022,0.0300564596479575,181,"2017-18"
"15",5706,0.0287416754293726,164,"2017-18"
"16",5653,0.0251194056253317,142,"2017-18"
"17",5575,0.0308520179372197,172,"2017-18"
"18",6263,0.0281015487785406,176,"2017-18"
"19",5075,0.0297536945812808,151,"2017-18"
"20",4688,0.0319965870307167,150,"2017-18"
"21",3761,0.0340335017282638,128,"2017-18"
"22",3424,0.0420560747663551,144,"2017-18"
"23",2990,0.0438127090301003,131,"2017-18"
"24",3135,0.0551834130781499,173,"2017-18"
"25",2340,0.0628205128205128,147,"2017-18"
"26",2052,0.0760233918128655,156,"2017-18"
"27",1958,0.083758937691522,164,"2017-18"
"28",1785,0.0761904761904762,136,"2017-18"
"29",1602,0.0973782771535581,156,"2017-18"
"30",1506,0.107569721115538,162,"2017-18"
"31",1267,0.12707182320442,161,"2017-18"
"32",1079,0.151992585727525,164,"2017-18"
"33",856,0.192757009345794,165,"2017-18"
"34",624,0.246794871794872,154,"2017-18"
"35",491,0.340122199592668,167,"2017-18"
"36",389,0.318766066838046,124,"2017-18"
"37",322,0.316770186335404,102,"2017-18"
"38",291,0.264604810996564,77,"2017-18"
"39",206,0.296116504854369,61,"2017-18"
"40",148,0.317567567567568,47,"2017-18"
"41",98,0.244897959183673,24,"2017-18"
"42",82,0.341463414634146,28,"2017-18"
"43",55,0.345454545454545,19,"2017-18"
"44",45,0.2,9,"2017-18"
"45",19,0.105263157894737,2,"2017-18"
"46",21,0.19047619047619,4,"2017-18"
"47",8,0.25,2,"2017-18"
"48",10,0.4,4,"2017-18"
"49",8,0.5,4,"2017-18"
"50",4,0.5,2,"2017-18"
"51",2,1,2,"2017-18"
"52",3,0,0,"2017-18"
"53",1,0,0,"2017-18"
"54",1,0,0,"2017-18"
"55",1,1,1,"2017-18"
"56",2,0.5,1,"2017-18"
"57",1,0,0,"2017-18"
"60",1,0,0,"2017-18"
"61",1,0,0,"2017-18"
"65",1,0,0,"2017-18"
"1",4982,0.0983540746688077,490,"2018-19"
"2",6468,0.072665429808287,470,"2018-19"
"3",6580,0.0554711246200608,365,"2018-19"
"4",5995,0.0508757297748123,305,"2018-19"
"5",5428,0.0386882829771555,210,"2018-19"
"6",4585,0.0466739367502726,214,"2018-19"
"7",3986,0.0449071751128951,179,"2018-19"
"8",4700,0.0372340425531915,175,"2018-19"
"9",5939,0.0287927260481563,171,"2018-19"
"10",6389,0.0302081702926906,193,"2018-19"
"11",6765,0.026459719142646,179,"2018-19"
"12",6447,0.031177291763611,201,"2018-19"
"13",6451,0.0286777243838165,185,"2018-19"
"14",6542,0.0252216447569551,165,"2018-19"
"15",5944,0.0259084791386272,154,"2018-19"
"16",5620,0.0270462633451957,152,"2018-19"
"17",5518,0.0268213120695904,148,"2018-19"
"18",5440,0.0279411764705882,152,"2018-19"
"19",6085,0.028266228430567,172,"2018-19"
"20",4943,0.0331782318430103,164,"2018-19"
"21",4603,0.0384531827069303,177,"2018-19"
"22",3748,0.0400213447171825,150,"2018-19"
"23",3238,0.0426189005558987,138,"2018-19"
"24",2914,0.0415236787920384,121,"2018-19"
"25",3065,0.0535073409461664,164,"2018-19"
"26",2236,0.0621645796064401,139,"2018-19"
"27",1942,0.0669412976313079,130,"2018-19"
