,Jurisdiction,Date,Cumulative Case Rate,Percent
45289,Union,2020-04-06,13.4,0.31053741512363564
42340,Lehigh,2020-04-06,311.1,7.209566406340527
13275,Northumberland,2020-04-06,24.2,0.5608213019397001
13258,Huntingdon,2020-04-06,11.1,0.25723621700539967
33710,Delaware,2020-04-06,157.9,3.6592431229867217
33433,Luzerne,2020-04-06,307.5,7.126138444068505
13117,Blair,2020-04-06,4.9,0.11355472642580708
6036,Lycoming,2020-04-06,10.6,0.24564900002317447
42826,Bradford,2020-04-06,21.6,0.5005677736321291
5991,Columbia,2020-04-06,70.8,1.6407499246830899
46207,Fayette,2020-04-06,27.1,0.6280271604366064
5824,Jefferson,2020-04-06,2.3,0.053301198118235964
34220,Clinton,2020-04-06,10.4,0.24101411323028438
5763,Monroe,2020-04-06,359.4,8.328891566823481
48099,Adams,2020-04-06,28.2,0.6535190377975019
46123,Northampton,2020-04-06,253.9,5.883988783573962
43264,Lackawanna,2020-04-06,109.7,2.542235405900211
12692,Susquehanna,2020-04-06,24.8,0.5747259623183705
8536,Elk,2020-04-06,6.7,0.15526870756181782
8561,Montgomery,2020-04-06,167.5,3.8817176890454457
46063,Centre,2020-04-06,33.9,0.7856133113948692
8575,Indiana,2020-04-06,25.0,0.5793608491112605
46001,Somerset,2020-04-06,9.5,0.220157122662279
12464,Cameron,2020-04-06,22.5,0.5214247642001345
12462,Greene,2020-04-06,44.2,1.0243099812287086
46159,Beaver,2020-04-06,73.8,1.710273226576441
12450,Warren,2020-04-06,2.6,0.060253528307571094
7830,Philadelphia,2020-04-06,253.2,5.867766679798847
47974,Washington,2020-04-06,27.1,0.6280271604366064
37938,Venango,2020-04-06,9.9,0.22942689624805918
47664,Erie,2020-04-06,11.5,0.26650599059117985
37519,Franklin,2020-04-06,24.5,0.5677736321290353
6847,Forest,2020-04-06,96.6,2.2386503209659105
37078,Schuylkill,2020-04-06,84.2,1.9512873398067254
40358,Cumberland,2020-04-06,31.2,0.7230423396908532
47344,Berks,2020-04-06,87.6,2.0300804152858567
17192,Bucks,2020-04-06,113.8,2.637250585154458
40737,Dauphin,2020-04-06,56.8,1.316307849180784
7196,Sullivan,2020-04-06,16.5,0.382378160413432
7240,Bedford,2020-04-06,6.3,0.14599893397603766
13423,Juniata,2020-04-06,60.6,1.4043706982456956
41170,Allegheny,2020-04-06,55.6,1.2884985284234434
35600,Clearfield,2020-04-06,8.8,0.20393501888716373
7465,Potter,2020-04-06,18.2,0.4217746981529977
47059,Lebanon,2020-04-06,103.7,2.4031888021135086
47042,Lancaster,2020-04-06,90.0,2.085699056800538
7508,Armstrong,2020-04-06,27.8,0.6442492642117217
35135,Montour,2020-04-06,137.1,3.1772148965261526
41863,Perry,2020-04-06,19.5,0.45190146230678324
7669,Fulton,2020-04-06,6.9,0.1599035943547079
42115,Clarion,2020-04-06,20.8,0.48202822646056875
42119,Mifflin,2020-04-06,13.0,0.30126764153785546
34491,Lawrence,2020-04-06,39.8,0.9223424717851266
41399,Carbon,2020-04-06,104.4,2.419410905888624
4962,Wyoming,2020-04-06,18.7,0.4333619151352229
13042,Cambria,2020-04-06,5.4,0.12514194340803228
29304,Tioga,2020-04-06,24.6,0.5700910755254803
45032,Crawford,2020-04-06,10.6,0.24564900002317447
10796,Butler,2020-04-06,58.0,1.3441171699381245
45702,Wayne,2020-04-06,70.1,1.6245278209079743
44125,Chester,2020-04-06,65.1,1.5086556510857223
44939,Mercer,2020-04-06,23.8,0.5515515283539201
45432,York,2020-04-06,51.0,1.1818961321869714
29535,Westmoreland,2020-04-06,49.6,1.149451924636741
